suspect_index,incident_id,participant_gender,participant_age,participant_age_group,participant_status
0,461105,Female,,Adult 18+,Injured
1,478855,Male,25.0,Adult 18+,"Injured, Unharmed, Arrested"
2,478855,Male,31.0,Adult 18+,"Unharmed, Arrested"
3,478925,Male,33.0,Adult 18+,Killed
4,478959,Female,47.0,Adult 18+,Killed
5,478948,Male,,Adult 18+,"Unharmed, Arrested"
6,478948,Male,,Adult 18+,"Unharmed, Arrested"
7,479363,Male,15.0,Teen 12-17,"Unharmed, Arrested"
8,479389,Male,,Adult 18+,Unharmed
9,479561,Male,48.0,Adult 18+,"Injured, Arrested"
10,479554,Male,,Adult 18+,Unharmed
11,479460,Male,29.0,Adult 18+,"Unharmed, Arrested"
12,479573,Female,24.0,Adult 18+,"Unharmed, Arrested"
13,479580,Male,25.0,Adult 18+,"Unharmed, Arrested"
14,479580,Male,18.0,Adult 18+,"Unharmed, Arrested"
15,479580,Male,19.0,Adult 18+,"Unharmed, Arrested"
16,479592,,,Adult 18+,Unharmed
17,479592,,,Adult 18+,Unharmed
18,479603,Male,19.0,Adult 18+,"Unharmed, Arrested"
19,479603,Male,22.0,Adult 18+,"Unharmed, Arrested"
20,479603,Male,23.0,Adult 18+,"Unharmed, Arrested"
21,480327,Male,68.0,Adult 18+,Killed
22,480344,Male,25.0,Adult 18+,"Killed, Unharmed, Arrested"
23,480344,Male,,Adult 18+,"Unharmed, Arrested"
24,480358,Male,20.0,Adult 18+,Killed
25,480383,Male,41.0,Adult 18+,"Unharmed, Arrested"
26,480401,Male,,Adult 18+,"Unharmed, Arrested"
27,480407,,,,Unharmed
28,480407,,,,Unharmed
29,480443,Male,29.0,Adult 18+,"Unharmed, Arrested"
30,481186,Male,15.0,Teen 12-17,"Unharmed, Arrested"
31,481186,Male,17.0,Teen 12-17,"Unharmed, Arrested"
32,481198,Male,24.0,Adult 18+,"Unharmed, Arrested"
33,481198,Male,25.0,Adult 18+,"Unharmed, Arrested"
34,481213,Male,17.0,Teen 12-17,"Unharmed, Arrested"
35,481213,Male,15.0,Teen 12-17,"Unharmed, Arrested"
36,481229,Male,25.0,Adult 18+,"Unharmed, Arrested"
37,482771,Male,19.0,Adult 18+,"Unharmed, Arrested"
38,482771,Male,19.0,Adult 18+,"Unharmed, Arrested"
39,482771,Male,17.0,Teen 12-17,Injured
40,482771,Male,,Adult 18+,Injured
41,482801,Male,23.0,Adult 18+,"Unharmed, Arrested"
42,482801,Male,20.0,Adult 18+,"Unharmed, Arrested"
43,482801,Male,20.0,Adult 18+,"Unharmed, Arrested"
44,482801,Male,18.0,Adult 18+,"Unharmed, Arrested"
45,482856,Male,64.0,Adult 18+,Killed
46,483737,Male,,Adult 18+,Unharmed
47,483737,Male,,Adult 18+,Unharmed
48,483737,Male,,Adult 18+,Unharmed
49,483765,Male,21.0,Adult 18+,"Unharmed, Arrested"
50,483765,Male,20.0,Adult 18+,"Unharmed, Arrested"
51,483788,Male,29.0,Adult 18+,"Unharmed, Arrested"
52,483835,Male,19.0,Adult 18+,"Unharmed, Arrested"
53,483835,Male,20.0,Adult 18+,"Unharmed, Arrested"
54,483817,Male,29.0,Adult 18+,"Injured, Arrested"
55,483861,Male,17.0,Teen 12-17,"Unharmed, Arrested"
56,483872,Male,43.0,Adult 18+,"Unharmed, Arrested"
57,484268,Male,,Adult 18+,"Unharmed, Arrested"
58,484307,Male,22.0,Adult 18+,"Unharmed, Arrested"
59,484287,Male,22.0,Adult 18+,"Unharmed, Arrested"
60,484317,Male,22.0,Adult 18+,"Unharmed, Arrested"
