gun_index,incident_id,n_guns_involved,gun_stolen,gun_type
0,478855,2,Unknown,Unknown
1,478855,2,Unknown,Unknown
2,478959,2,Unknown,Handgun
3,478959,2,Unknown,Handgun
4,479363,2,Unknown,22 LR
5,479363,2,Unknown,223 Rem [AR-15]
6,491674,1,Unknown,Unknown
7,479413,1,Unknown,Unknown
8,479561,1,Unknown,Shotgun
9,479554,1,Unknown,Handgun
10,479573,1,Unknown,Handgun
11,479580,1,Unknown,9mm
12,479603,1,Unknown,Handgun
13,480327,1,Unknown,45 Auto
14,480358,1,Unknown,12 gauge
15,481198,1,Unknown,7.62 [AK-47]
16,481213,1,Unknown,45 Auto
17,481229,1,Unknown,Handgun
18,481237,1,Unknown,Unknown
19,482771,4,Unknown,9mm
20,482771,4,Unknown,9mm
21,482771,4,Unknown,40 SW
22,482771,4,Unknown,40 SW
23,482856,1,Unknown,Shotgun
24,483765,1,Unknown,Handgun
25,484317,1,Unknown,Handgun
26,484333,2,Not-stolen,40 SW
27,484333,2,Unknown,Shotgun
28,485746,3,Unknown,7.62 [AK-47]
29,485746,3,Unknown,40 SW
30,485746,3,Unknown,9mm
31,485811,2,Unknown,Unknown
32,485811,2,Unknown,Unknown
33,489185,1,Unknown,9mm
34,485885,2,Unknown,Unknown
35,485885,2,Unknown,Unknown
36,485979,2,Unknown,9mm
37,485979,2,Unknown,45 Auto
38,984353,1,Unknown,Unknown
39,486027,1,Unknown,Unknown
40,486142,1,Unknown,Unknown
41,486244,1,Unknown,Unknown
42,486209,1,Unknown,7.62 [AK-47]
43,486316,1,Unknown,Unknown
44,1007785,1,Unknown,Unknown
45,486334,1,Unknown,44 Mag
46,873575,1,Unknown,Unknown
47,486611,1,Unknown,Unknown
48,486605,1,Unknown,Unknown
49,486623,1,Unknown,Unknown
50,486977,1,Unknown,Unknown
51,489581,2,Not-stolen,223 Rem [AR-15]
52,489581,2,Unknown,44 Mag
53,487659,1,Unknown,Unknown
54,487670,1,Unknown,Unknown
55,488992,1,Unknown,Unknown
56,487833,1,Unknown,Unknown
57,488547,1,Unknown,Other
58,489121,1,Unknown,40 SW
59,490048,1,Unknown,Unknown
60,893251,1,Unknown,Unknown
61,1023908,1,Unknown,Unknown
62,490772,1,Unknown,38 Spl
63,490767,3,Unknown,Handgun
64,490767,3,Unknown,Handgun
65,490767,3,Unknown,Handgun
66,490943,1,Unknown,Handgun
67,490954,1,Unknown,22 LR
68,490932,1,Unknown,Unknown
69,491037,1,Unknown,Unknown
70,491181,1,Unknown,9mm
71,491253,1,Unknown,Handgun
72,491265,1,Unknown,9mm
73,491292,1,Unknown,Unknown
74,491438,1,Unknown,Unknown
75,491473,1,Unknown,45 Auto
76,964573,1,Unknown,Unknown
77,491609,2,Unknown,223 Rem [AR-15]
78,491609,2,Unknown,44 Mag
79,491734,1,Unknown,Unknown
80,492001,1,Unknown,380 Auto
81,1074613,1,Unknown,Unknown
82,491965,1,Unknown,7.62 [AK-47]
83,491992,1,Unknown,9mm
84,958032,1,Unknown,Handgun
85,492270,2,Unknown,9mm
86,492270,2,Unknown,40 SW
87,492276,3,Unknown,22 LR
88,492276,3,Unknown,410 gauge
89,492276,3,Unknown,32 Auto
90,479727,1,Unknown,Unknown
91,479774,1,Unknown,Unknown
92,479821,1,Unknown,40 SW
93,480058,1,Unknown,Other
94,480366,2,Unknown,9mm
95,480366,2,Unknown,Shotgun
96,480521,1,Unknown,7.62 [AK-47]
97,480605,1,Unknown,22 LR
98,480669,1,Unknown,Unknown
99,480691,2,Stolen,Handgun
100,480691,2,Stolen,Handgun
101,480720,1,Unknown,Handgun
102,670964,1,Unknown,Unknown
103,984965,1,Unknown,Unknown
104,481029,1,Unknown,Handgun
105,1007851,1,Unknown,9mm
106,492325,1,Unknown,Shotgun
107,492699,1,Unknown,Unknown
108,493893,1,Unknown,Handgun
109,493882,1,Unknown,308 Win
110,964582,1,Unknown,Unknown
111,964576,1,Unknown,Unknown
112,495171,1,Unknown,Unknown
113,972570,1,Unknown,Unknown
114,495332,1,Unknown,Unknown
115,979523,1,Unknown,Unknown
116,495566,1,Unknown,Unknown
117,1012298,1,Unknown,Unknown
118,496584,1,Unknown,Shotgun
119,496634,1,Unknown,40 SW
120,935147,1,Unknown,Unknown
121,92623,1,Unknown,Unknown
122,854799,1,Unknown,Unknown
123,98134,1,Unknown,Unknown
124,92563,1,Unknown,Unknown
125,97976,1,Unknown,Unknown
126,92117,1,Unknown,Unknown
127,92135,1,Unknown,Unknown
128,95286,1,Unknown,Unknown
129,92453,1,Unknown,Unknown
130,261045,2,Unknown,Other
131,261045,2,Unknown,Other
132,182940,1,Unknown,Unknown
133,92859,1,Unknown,Unknown
134,92151,1,Unknown,Unknown
135,100729,1,Unknown,Unknown
136,92508,1,Unknown,Unknown
137,92771,1,Unknown,Unknown
138,95297,1,Unknown,Rifle
139,217094,1,Unknown,Unknown
140,94427,1,Unknown,Unknown
141,103026,1,Unknown,Unknown
142,100284,1,Unknown,Handgun
143,92954,1,Unknown,Unknown
144,92774,1,Unknown,Unknown
145,871408,1,Unknown,357 Mag
146,93019,1,Unknown,Unknown
147,92945,1,Unknown,Unknown
148,935154,1,Unknown,Unknown
149,94546,1,Unknown,Handgun
150,94926,1,Unknown,Unknown
151,93179,1,Unknown,Unknown
152,93118,1,Unknown,Unknown
153,107331,1,Unknown,Unknown
154,94821,1,Unknown,Unknown
155,94032,1,Unknown,Unknown
156,93682,1,Unknown,40 SW
157,105137,1,Unknown,Unknown
158,703767,1,Unknown,Unknown
159,93760,2,Unknown,Unknown
160,93760,2,Unknown,Unknown
161,174362,1,Unknown,Unknown
162,94109,1,Unknown,Unknown
163,108885,1,Unknown,Unknown
164,93918,2,Stolen,22 LR
165,93918,2,Stolen,Rifle
166,105187,1,Unknown,Unknown
167,94452,1,Not-stolen,Handgun
168,105185,1,Unknown,Unknown
169,94035,2,Unknown,Handgun
170,94035,2,Unknown,Rifle
171,94097,1,Unknown,Unknown
172,94075,1,Unknown,Unknown
173,94733,1,Unknown,Unknown
174,106671,1,Unknown,Unknown
175,94995,1,Unknown,Unknown
176,103517,1,Unknown,Unknown
177,95182,1,Unknown,Unknown
178,94059,1,Unknown,Unknown
179,94082,1,Unknown,Unknown
180,94159,1,Unknown,Unknown
181,93938,1,Unknown,Unknown
182,94092,1,Unknown,Unknown
183,95074,1,Unknown,Unknown
184,93974,1,Unknown,Unknown
185,286139,1,Stolen,Shotgun
186,292428,1,Unknown,45 Auto
187,261313,1,Unknown,Unknown
188,993172,1,Unknown,16 gauge
189,102714,1,Unknown,Unknown
190,96916,1,Unknown,Unknown
191,94708,1,Unknown,Unknown
192,96129,1,Unknown,Unknown
193,94782,1,Unknown,Unknown
194,94151,1,Unknown,Unknown
195,94791,1,Unknown,Unknown
196,94520,1,Unknown,Unknown
197,94760,1,Unknown,Unknown
198,95594,1,Unknown,Unknown
199,95586,1,Unknown,Unknown
200,94785,1,Unknown,Unknown
201,96037,1,Unknown,Unknown
202,94245,1,Unknown,Handgun
203,94944,1,Unknown,Unknown
204,94794,1,Unknown,Unknown
205,94994,1,Unknown,Unknown
206,94654,1,Unknown,Handgun
207,94805,1,Unknown,Unknown
208,94886,1,Unknown,Unknown
209,95556,1,Unknown,357 Mag
210,95198,1,Unknown,Unknown
211,291443,1,Unknown,Unknown
212,599379,1,Unknown,12 gauge
213,95973,1,Unknown,9mm
214,217099,1,Unknown,Unknown
215,95098,1,Unknown,Unknown
216,94949,1,Unknown,Rifle
217,95315,1,Unknown,Unknown
218,773468,1,Unknown,Unknown
219,106680,1,Unknown,45 Auto
220,95323,1,Unknown,Unknown
221,95916,1,Unknown,Unknown
222,97127,1,Unknown,Unknown
223,106683,1,Unknown,45 Auto
224,96286,1,Unknown,Unknown
225,95670,1,Unknown,Unknown
226,95428,1,Unknown,Unknown
227,95487,1,Unknown,Unknown
228,95436,1,Unknown,Unknown
229,95745,1,Unknown,Unknown
230,95313,2,Unknown,40 SW
231,95313,2,Unknown,357 Mag
232,95335,1,Unknown,Unknown
233,95909,1,Unknown,Unknown
234,160404,1,Unknown,Unknown
235,95975,1,Unknown,Unknown
236,95661,1,Unknown,Unknown
237,98630,1,Unknown,Unknown
238,97661,1,Unknown,Unknown
239,95613,1,Unknown,Unknown
240,96487,1,Unknown,Unknown
241,333919,2,Unknown,9mm
242,333919,2,Unknown,Unknown
243,95500,1,Unknown,Unknown
244,96272,1,Unknown,Unknown
245,225046,1,Unknown,Unknown
246,96155,1,Unknown,Unknown
247,96221,1,Unknown,Unknown
248,96227,1,Unknown,Unknown
249,217333,1,Unknown,Unknown
250,104922,1,Unknown,Handgun
251,102368,1,Unknown,Unknown
252,96352,1,Unknown,Unknown
253,225305,1,Unknown,Unknown
254,95581,1,Unknown,Unknown
255,95907,1,Unknown,Unknown
256,95867,1,Unknown,Unknown
257,96107,1,Unknown,Unknown
258,95823,1,Unknown,Unknown
259,95968,1,Unknown,Unknown
260,96375,1,Unknown,Unknown
261,507315,1,Unknown,9mm
262,96683,1,Unknown,357 Mag
263,100438,1,Unknown,Unknown
264,96624,1,Unknown,Unknown
265,96652,1,Unknown,Unknown
266,96309,1,Unknown,Unknown
267,96780,1,Unknown,Unknown
268,206308,1,Unknown,Unknown
269,96328,1,Unknown,Unknown
270,96546,1,Unknown,Unknown
271,96315,1,Unknown,Rifle
272,96635,1,Unknown,Unknown
273,96204,1,Unknown,Unknown
274,97602,1,Unknown,Unknown
275,96649,1,Unknown,Unknown
276,97900,1,Unknown,22 LR
277,96483,1,Unknown,Unknown
278,97507,1,Unknown,Unknown
279,419403,1,Unknown,Rifle
280,96326,1,Unknown,Unknown
281,106702,1,Unknown,22 LR
282,97134,1,Unknown,Unknown
283,99123,1,Unknown,Unknown
284,96850,1,Unknown,Unknown
285,96709,1,Unknown,Unknown
286,96753,1,Unknown,Unknown
287,97209,1,Unknown,Unknown
288,97551,1,Unknown,Unknown
289,96568,4,Stolen,Unknown
290,96568,4,Stolen,Unknown
291,96568,4,Unknown,Unknown
292,96568,4,Unknown,Unknown
293,98758,1,Unknown,Unknown
294,97025,2,Unknown,38 Spl
295,97025,2,Unknown,9mm
296,191428,1,Unknown,Unknown
297,97326,1,Unknown,Unknown
298,339227,1,Unknown,Unknown
299,97472,1,Unknown,Unknown
300,97240,1,Unknown,Unknown
301,97284,1,Unknown,Unknown
302,97324,1,Unknown,Unknown
303,114244,1,Unknown,Unknown
304,98923,1,Unknown,Unknown
305,98930,1,Unknown,Unknown
306,97179,1,Unknown,Unknown
307,97653,1,Unknown,Unknown
308,98118,1,Unknown,Unknown
309,217354,1,Unknown,Unknown
310,97001,1,Unknown,Unknown
311,97770,1,Unknown,Unknown
312,97949,1,Unknown,Unknown
313,97201,1,Unknown,30-30 Win
314,97511,1,Unknown,Unknown
315,97478,1,Unknown,Unknown
316,97105,1,Unknown,Unknown
317,97365,1,Unknown,Unknown
318,99764,1,Unknown,Unknown
319,97534,1,Unknown,Unknown
320,671396,1,Stolen,40 SW
321,217832,1,Unknown,Unknown
322,97687,1,Unknown,Unknown
323,97709,1,Unknown,12 gauge
324,387657,4,Unknown,25 Auto
325,387657,4,Unknown,38 Spl
326,387657,4,Unknown,32 Auto
327,387657,4,Unknown,22 LR
328,106710,1,Unknown,22 LR
329,629020,1,Unknown,45 Auto
330,98595,1,Unknown,Unknown
331,97523,1,Unknown,Unknown
332,98216,1,Unknown,Unknown
333,104381,3,Stolen,Handgun
334,104381,3,Unknown,Handgun
335,104381,3,Unknown,Handgun
336,99175,1,Unknown,Unknown
337,98519,1,Unknown,Unknown
338,98627,1,Unknown,Unknown
339,98088,1,Unknown,Unknown
340,190678,1,Unknown,Unknown
341,107021,4,Unknown,9mm
342,107021,4,Unknown,45 Auto
343,107021,4,Unknown,12 gauge
344,107021,4,Unknown,22 LR
345,97917,1,Unknown,Unknown
346,98004,1,Unknown,Unknown
347,112347,2,Unknown,Shotgun
348,112347,2,Unknown,30-30 Win
349,97726,1,Unknown,Unknown
350,98500,1,Unknown,Unknown
351,98073,1,Unknown,Unknown
352,98261,1,Unknown,Unknown
353,98204,1,Unknown,Unknown
354,98314,1,Unknown,Unknown
355,99182,1,Unknown,Unknown
356,99242,1,Unknown,Unknown
357,98719,1,Unknown,Unknown
358,98735,1,Unknown,Unknown
359,98774,1,Unknown,Unknown
360,98319,1,Unknown,Unknown
361,99833,1,Unknown,Unknown
362,98107,1,Unknown,Unknown
363,100889,1,Unknown,Unknown
364,98256,1,Unknown,Unknown
365,101533,1,Unknown,Unknown
366,99300,1,Unknown,Unknown
367,98457,1,Unknown,Unknown
368,112809,1,Unknown,Unknown
369,98553,1,Unknown,Unknown
370,98703,1,Unknown,Unknown
371,729789,1,Unknown,Unknown
372,98525,1,Unknown,7.62 [AK-47]
373,100706,1,Unknown,Unknown
374,465338,1,Unknown,22 LR
375,98426,1,Unknown,Unknown
376,99213,1,Unknown,Unknown
377,106307,1,Unknown,Unknown
378,98301,1,Unknown,Unknown
379,98311,1,Unknown,Unknown
380,98667,1,Unknown,Unknown
381,100288,1,Unknown,380 Auto
382,98687,1,Unknown,Unknown
383,99449,1,Unknown,Unknown
384,99358,1,Unknown,Unknown
385,99325,1,Unknown,Handgun
386,99273,1,Unknown,Unknown
387,99748,1,Unknown,Unknown
388,98696,1,Unknown,Unknown
389,99674,1,Unknown,Unknown
390,99298,1,Unknown,Unknown
391,99184,1,Unknown,Unknown
392,98590,1,Unknown,Unknown
393,98629,1,Unknown,Unknown
394,100405,1,Unknown,Unknown
395,99588,1,Unknown,Unknown
396,99165,1,Unknown,Unknown
397,98844,1,Unknown,Unknown
398,99236,1,Unknown,Unknown
399,100077,1,Unknown,Unknown
400,100153,1,Unknown,Unknown
401,99227,1,Unknown,Unknown
402,99590,1,Unknown,38 Spl
403,99888,1,Unknown,Handgun
404,99698,1,Unknown,Unknown
405,99960,1,Unknown,Handgun
406,99566,1,Unknown,Unknown
407,99564,1,Unknown,Unknown
408,99371,1,Unknown,Unknown
409,100069,1,Unknown,Unknown
410,100219,2,Unknown,Handgun
411,100219,2,Unknown,Handgun
412,100019,1,Unknown,Unknown
413,217847,1,Unknown,Unknown
414,99320,1,Unknown,Unknown
415,99970,1,Unknown,Unknown
416,100010,1,Unknown,Unknown
417,100832,1,Unknown,Unknown
418,101805,1,Unknown,Unknown
419,100161,2,Unknown,Unknown
420,100161,2,Unknown,Unknown
421,283248,1,Unknown,Unknown
