incident_id,date,state,latitude,longitude,n_killed,n_injured,incident_characteristics,notes,congressional_district,state_house_district,state_senate_district
461105,2013-01-01,Pennsylvania,40.3467,-79.8559,0,4,"Shot - Wounded/Injured||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Possession (gun(s) found during commission of other crimes)||Possession of gun by felon or prohibited person",Julian Sims under investigation: Four Shot and Injured,14.0,,
460726,2013-01-01,California,33.909,-118.333,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",Four Shot; One Killed; Unidentified shooter in getaway car,43.0,62.0,35.0
478855,2013-01-01,Ohio,41.4455,-82.1377,1,3,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Shots Fired - No Injuries||Bar/club incident - in or around establishment",,9.0,56.0,13.0
478925,2013-01-05,Colorado,39.6518,-104.802,4,0,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Drug involvement||Kidnapping/abductions/hostage||Under the influence of alcohol or drugs (only applies to the subject/suspect/perpetrator )",,6.0,40.0,28.0
478959,2013-01-07,North Carolina,36.114000000000004,-79.9569,2,2,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Suicide^||Murder/Suicide||Attempted Murder/Suicide (one variable unsuccessful)||Domestic Violence","Two firearms recovered. (Attempted) murder suicide - both succeeded in fulfilling an M/S and did not succeed, based on details.",6.0,62.0,27.0
478948,2013-01-07,Oklahoma,36.2405,-95.9768,4,0,"Shot - Dead (murder, accidental, suicide)||Home Invasion||Home Invasion - Resident killed||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Armed robbery with injury/death and/or evidence of DGU found",,1.0,72.0,11.0
479363,2013-01-19,New Mexico,34.9791,-106.71600000000001,5,0,"Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Domestic Violence",,1.0,10.0,14.0
479374,2013-01-21,Louisiana,29.9435,-90.0836,0,5,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",Unprovoked drive-by results in multiple teens and young adults injured. No source with names or exact ages.,2.0,93.0,5.0
479389,2013-01-21,California,37.9656,-121.71799999999999,0,4,"Shot - Wounded/Injured||Drive-by (car to street, car to car)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)||Gang involvement",Perps were likely motivated by gang affliations,9.0,11.0,7.0
492151,2013-01-23,Maryland,39.2899,-76.6412,1,6,"Shot - Wounded/Injured||Shot - Dead (murder, accidental, suicide)||Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)",Shooting occurred over illegal dice game; victim was killed as he sat on a stoop. Victim was not a participant in the game.,7.0,,44.0
